Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-2024-05015,2021-01-20,2021-01-22,Standard Class,CUS-1137,Consumer,East,New Jersey,Furniture,Furnishings,160.66,9,0.0,12.92
ORD-2024-04241,2021-01-20,2021-01-23,Standard Class,CUS-7499,Home Office,South,Florida,Office Supplies,Binders,29.22,6,0.1,0.62
ORD-2023-03052,2021-01-21,2021-01-24,Standard Class,CUS-5666,Home Office,Central,Illinois,Furniture,Furnishings,290.28,8,0.3,-144.26
ORD-2023-02639,2021-01-22,2021-01-24,Standard Class,CUS-6095,Consumer,West,Washington,Furniture,Bookcases,71.35,8,0.3,-32.0
ORD-2023-02655,2021-01-23,2021-01-29,Standard Class,CUS-9461,Consumer,South,Florida,Office Supplies,Binders,139.01,5,0.0,24.92
ORD-2023-02677,2021-01-23,2021-01-29,Standard Class,CUS-4596,Corporate,South,Alabama,Furniture,Tables,587.59,9,0.2,-171.95
ORD-2023-03660,2021-01-23,2021-01-30,Second Class,CUS-9927,Consumer,West,Arizona,Furniture,Storage,508.56,1,0.2,-120.35
ORD-2024-04070,2021-01-23,2021-01-27,Standard Class,CUS-2704,Consumer,East,Virginia,Technology,Laptops,112.69,6,0.2,10.16
ORD-2024-05042,2021-01-23,2021-01-30,First Class,CUS-7252,Corporate,East,Virginia,Office Supplies,Envelopes,58.0,7,0.4,-20.24
ORD-2023-03113,2021-01-24,2021-01-28,Standard Class,CUS-1363,Corporate,Central,Indiana,Furniture,Chairs,134.49,6,0.0,15.74
ORD-2022-02291,2021-01-25,2021-01-28,Standard Class,CUS-5220,Consumer,Central,Michigan,Technology,Copiers,271.66,7,0.2,14.14
ORD-2023-03182,2021-01-25,2021-01-29,Standard Class,CUS-5475,Consumer,East,Massachusetts,Technology,Accessories,121.01,1,0.2,2.26
ORD-2024-04609,2021-01-26,2021-01-30,First Class,CUS-7341,Corporate,South,Alabama,Furniture,Tables,930.68,5,0.0,73.73
ORD-2021-00503,2021-01-27,2021-02-03,Same Day,CUS-8183,Consumer,East,Virginia,Furniture,Chairs,301.03,9,0.0,23.55
ORD-2023-02941,2021-01-27,2021-01-31,First Class,CUS-8337,Corporate,West,Oregon,Office Supplies,Art,80.02,4,0.0,14.43
ORD-2021-00897,2021-01-28,2021-02-02,Standard Class,CUS-3893,Corporate,West,Oregon,Furniture,Storage,417.38,2,0.2,-104.85
ORD-2022-02264,2021-01-28,2021-01-30,Standard Class,CUS-1227,Home Office,Central,Illinois,Furniture,Tables,584.38,3,0.0,75.92
ORD-2023-03082,2021-01-28,2021-02-02,Standard Class,CUS-7562,Consumer,Central,Texas,Office Supplies,Binders,85.77,3,0.0,15.16
ORD-2023-03763,2021-02-01,2021-02-05,First Class,CUS-7422,Consumer,West,Colorado,Technology,Printers,219.22,6,0.0,58.07
ORD-2024-04073,2021-02-02,2021-02-05,Standard Class,CUS-6249,Consumer,West,Oregon,Technology,Copiers,264.03,5,0.0,72.95
ORD-2021-01297,2021-02-02,2021-02-08,Same Day,CUS-3856,Home Office,West,California,Furniture,Chairs,150.3,9,0.0,22.98
ORD-2023-03662,2021-02-02,2021-02-05,Standard Class,CUS-9785,Corporate,South,Alabama,Furniture,Furnishings,296.37,8,0.0,31.64
ORD-2022-01858,2021-02-03,2021-02-10,Standard Class,CUS-2410,Corporate,West,California,Office Supplies,Art,173.16,7,0.1,8.14
ORD-2024-04939,2021-02-03,2021-02-09,Standard Class,CUS-5701,Consumer,West,Nevada,Office Supplies,Binders,69.45,8,0.0,14.58
ORD-2022-01958,2021-02-03,2021-02-08,Standard Class,CUS-9282,Consumer,South,South Carolina,Technology,Laptops,850.97,1,0.0,228.28
ORD-2023-02833,2021-02-04,2021-02-07,Standard Class,CUS-3179,Corporate,South,Tennessee,Furniture,Storage,329.35,1,0.0,16.13
ORD-2021-00162,2021-02-04,2021-02-07,Standard Class,CUS-9556,Consumer,West,Washington,Office Supplies,Art,87.52,2,0.0,17.73
ORD-2023-03315,2021-02-05,2021-02-12,Second Class,CUS-9288,Consumer,West,Washington,Furniture,Tables,111.67,6,0.0,12.77
ORD-2022-02115,2021-02-05,2021-02-09,Standard Class,CUS-2691,Corporate,South,Florida,Technology,Accessories,252.74,8,0.0,34.73
ORD-2024-04505,2021-02-05,2021-02-07,Second Class,CUS-4935,Corporate,East,New Jersey,Furniture,Storage,259.67,1,0.0,30.46
ORD-2021-00615,2021-02-07,2021-02-10,Standard Class,CUS-4299,Corporate,Central,Ohio,Office Supplies,Binders,54.37,7,0.1,1.49
ORD-2024-04088,2021-02-07,2021-02-10,Standard Class,CUS-1750,Consumer,West,California,Office Supplies,Paper,27.04,2,0.1,3.2
ORD-2021-00933,2021-02-07,2021-02-12,Standard Class,CUS-1567,Home Office,Central,Illinois,Furniture,Tables,1064.24,5,0.0,75.89
ORD-2021-00079,2021-02-07,2021-02-12,Standard Class,CUS-1580,Corporate,South,Alabama,Office Supplies,Supplies,45.65,6,0.3,-12.36
ORD-2024-05083,2021-02-08,2021-02-14,First Class,CUS-3432,Corporate,West,Oregon,Office Supplies,Envelopes,80.97,4,0.1,7.96
ORD-2024-04076,2021-02-08,2021-02-10,Standard Class,CUS-3326,Corporate,Central,Indiana,Office Supplies,Labels,142.6,3,0.3,-25.99
ORD-2023-03011,2021-02-09,2021-02-15,Second Class,CUS-7671,Corporate,South,Tennessee,Furniture,Furnishings,149.35,4,0.4,-97.08
ORD-2022-01965,2021-02-09,2021-02-14,Second Class,CUS-5764,Consumer,West,Arizona,Furniture,Storage,152.03,8,0.0,9.65
ORD-2024-04013,2021-02-09,2021-02-14,Standard Class,CUS-8128,Consumer,West,Nevada,Office Supplies,Art,33.46,5,0.3,-6.06
ORD-2024-04702,2021-02-09,2021-02-15,Standard Class,CUS-6178,Consumer,East,Virginia,Technology,Printers,203.04,5,0.2,6.68
ORD-2023-02806,2021-02-09,2021-02-14,Standard Class,CUS-6714,Consumer,East,New Jersey,Furniture,Tables,500.26,4,0.0,46.64
ORD-2021-01225,2021-02-10,2021-02-16,Standard Class,CUS-9473,Corporate,South,Louisiana,Furniture,Furnishings,1218.08,1,0.2,-349.12
ORD-2024-04738,2021-02-10,2021-02-17,Standard Class,CUS-6044,Corporate,West,Oregon,Office Supplies,Envelopes,138.63,9,0.2,-3.42
ORD-2022-01760,2021-02-10,2021-02-14,Second Class,CUS-5156,Home Office,East,New York,Office Supplies,Binders,103.24,6,0.0,22.86
ORD-2022-02169,2021-02-10,2021-02-13,Standard Class,CUS-5636,Corporate,East,North Carolina,Furniture,Furnishings,131.4,1,0.2,-39.64
ORD-2021-01165,2021-02-10,2021-02-12,Standard Class,CUS-7475,Home Office,South,Tennessee,Technology,Monitors,238.43,9,0.0,57.43
ORD-2024-04418,2021-02-12,2021-02-19,Standard Class,CUS-6827,Corporate,West,Nevada,Office Supplies,Labels,45.1,7,0.0,8.65
ORD-2024-04191,2021-02-12,2021-02-16,Second Class,CUS-2066,Corporate,Central,Missouri,Technology,Copiers,154.03,5,0.2,-3.2
ORD-2023-03117,2021-02-13,2021-02-16,Standard Class,CUS-5513,Consumer,Central,Ohio,Furniture,Chairs,244.14,7,0.1,-8.84
ORD-2023-03272,2021-02-13,2021-02-19,Standard Class,CUS-2091,Corporate,Central,Illinois,Office Supplies,Supplies,77.28,1,0.1,1.84
ORD-2023-02766,2021-02-13,2021-02-16,Standard Class,CUS-1055,Home Office,East,Pennsylvania,Technology,Monitors,394.53,6,0.0,105.25
ORD-2023-02910,2021-02-14,2021-02-20,Second Class,CUS-6580,Corporate,Central,Missouri,Office Supplies,Envelopes,157.06,5,0.2,-17.05
ORD-2023-03293,2021-02-14,2021-02-16,Standard Class,CUS-9490,Consumer,East,Pennsylvania,Furniture,Tables,60.98,4,0.4,-39.85
ORD-2022-01478,2021-02-14,2021-02-17,Standard Class,CUS-1011,Home Office,East,North Carolina,Technology,Phones,425.37,2,0.0,113.99
ORD-2024-04004,2021-02-14,2021-02-16,Standard Class,CUS-9757,Consumer,East,North Carolina,Office Supplies,Paper,70.42,8,0.0,11.15
ORD-2021-00203,2021-02-15,2021-02-22,Second Class,CUS-2154,Home Office,West,Nevada,Technology,Laptops,472.97,9,0.0,125.67
ORD-2024-04600,2021-02-16,2021-02-19,Standard Class,CUS-1921,Consumer,Central,Texas,Office Supplies,Art,68.7,5,0.3,-12.53
ORD-2024-04469,2021-02-16,2021-02-19,Second Class,CUS-4350,Consumer,West,California,Technology,Phones,478.14,8,0.0,176.87
ORD-2023-02698,2021-02-17,2021-02-19,Standard Class,CUS-5372,Corporate,East,North Carolina,Office Supplies,Paper,73.58,3,0.0,12.1
ORD-2024-03963,2021-02-17,2021-02-21,First Class,CUS-6971,Consumer,West,Oregon,Technology,Printers,206.58,8,0.0,54.62
ORD-2021-00443,2021-02-17,2021-02-24,Standard Class,CUS-2677,Consumer,West,Oregon,Furniture,Furnishings,99.29,2,0.0,13.3
ORD-2022-01533,2021-02-17,2021-02-23,Standard Class,CUS-7050,Consumer,Central,Indiana,Furniture,Furnishings,500.46,8,0.0,44.5
ORD-2024-04395,2021-02-18,2021-02-24,Standard Class,CUS-2614,Corporate,East,Pennsylvania,Technology,Phones,255.49,6,0.4,-47.04
ORD-2024-04721,2021-02-18,2021-02-24,Second Class,CUS-4313,Home Office,East,North Carolina,Furniture,Storage,603.06,5,0.0,75.87
ORD-2024-04718,2021-02-19,2021-02-23,Standard Class,CUS-7451,Corporate,East,Pennsylvania,Technology,Printers,353.88,9,0.2,19.05
ORD-2024-04714,2021-02-20,2021-02-26,Standard Class,CUS-8355,Home Office,Central,Michigan,Furniture,Bookcases,412.19,5,0.2,-97.58
ORD-2022-02052,2021-02-20,2021-02-26,Standard Class,CUS-6973,Consumer,East,North Carolina,Furniture,Tables,200.91,1,0.0,21.84
ORD-2022-02540,2021-02-21,2021-02-26,Second Class,CUS-7061,Corporate,East,Massachusetts,Office Supplies,Labels,268.95,8,0.2,-3.42
ORD-2021-00854,2021-02-21,2021-02-23,Standard Class,CUS-9563,Consumer,West,Nevada,Furniture,Chairs,430.17,1,0.0,48.7
ORD-2024-03951,2021-02-23,2021-03-01,Standard Class,CUS-7655,Consumer,South,Florida,Technology,Printers,445.38,4,0.4,-115.94
ORD-2024-04323,2021-02-23,2021-02-28,First Class,CUS-7923,Corporate,West,Arizona,Office Supplies,Binders,134.52,4,0.0,28.76
ORD-2024-04424,2021-02-23,2021-02-27,First Class,CUS-2836,Home Office,Central,Indiana,Technology,Printers,139.16,2,0.0,36.93
ORD-2023-03830,2021-02-24,2021-02-26,Second Class,CUS-2604,Consumer,East,Virginia,Office Supplies,Supplies,147.45,8,0.0,21.17
ORD-2021-00099,2021-02-24,2021-03-02,Standard Class,CUS-2348,Consumer,South,Louisiana,Technology,Phones,266.11,3,0.0,54.12
ORD-2022-01444,2021-02-24,2021-03-01,First Class,CUS-3932,Corporate,West,California,Furniture,Chairs,428.68,4,0.0,34.18
ORD-2022-01608,2021-02-24,2021-03-02,Standard Class,CUS-9445,Home Office,East,Virginia,Office Supplies,Labels,95.31,9,0.2,-10.01
ORD-2021-00420,2021-02-25,2021-03-02,Standard Class,CUS-2589,Consumer,Central,Missouri,Technology,Phones,240.25,9,0.0,65.04
ORD-2021-00851,2021-02-26,2021-03-03,Standard Class,CUS-3838,Corporate,West,Nevada,Office Supplies,Art,86.54,4,0.3,-14.93
ORD-2024-04048,2021-02-28,2021-03-05,First Class,CUS-3285,Consumer,East,Virginia,Technology,Copiers,268.38,2,0.2,36.2
ORD-2024-04024,2021-02-28,2021-03-02,First Class,CUS-9774,Consumer,South,South Carolina,Office Supplies,Envelopes,25.53,9,0.0,2.7
ORD-2024-03978,2021-02-28,2021-03-07,Second Class,CUS-7555,Consumer,East,Virginia,Furniture,Chairs,235.88,5,0.1,-10.15
ORD-2023-02638,2021-03-01,2021-03-05,Standard Class,CUS-8116,Consumer,South,Tennessee,Office Supplies,Labels,255.51,3,0.2,-16.08
ORD-2024-04081,2021-03-01,2021-03-03,First Class,CUS-4619,Home Office,West,Nevada,Office Supplies,Art,54.02,4,0.0,11.27
ORD-2022-02541,2021-03-01,2021-03-03,Standard Class,CUS-4429,Consumer,East,New Jersey,Office Supplies,Supplies,132.42,3,0.4,-37.13
ORD-2022-01674,2021-03-02,2021-03-05,Second Class,CUS-4705,Consumer,South,Georgia,Furniture,Furnishings,405.86,4,0.3,-200.57
ORD-2021-00005,2021-03-02,2021-03-06,Same Day,CUS-7908,Consumer,South,Georgia,Office Supplies,Fasteners,60.23,2,0.0,8.47
ORD-2021-00626,2021-03-02,2021-03-05,Standard Class,CUS-9472,Home Office,South,Louisiana,Office Supplies,Labels,124.59,7,0.1,2.1
ORD-2024-04695,2021-03-02,2021-03-08,Standard Class,CUS-6711,Consumer,Central,Texas,Office Supplies,Art,63.6,3,0.4,-20.43
ORD-2022-01692,2021-03-03,2021-03-08,Second Class,CUS-6659,Home Office,West,Arizona,Office Supplies,Art,78.14,3,0.0,10.81
ORD-2021-00159,2021-03-03,2021-03-06,First Class,CUS-2522,Consumer,Central,Indiana,Office Supplies,Supplies,53.87,3,0.0,7.53
ORD-2023-03093,2021-03-03,2021-03-08,Standard Class,CUS-8360,Consumer,South,Alabama,Furniture,Bookcases,616.92,9,0.0,85.9
ORD-2023-03716,2021-03-03,2021-03-09,Same Day,CUS-7204,Consumer,Central,Missouri,Office Supplies,Fasteners,188.39,3,0.0,30.26
ORD-2022-02010,2021-03-04,2021-03-06,First Class,CUS-8122,Consumer,West,Colorado,Technology,Copiers,322.94,3,0.0,93.03
ORD-2023-03413,2021-03-04,2021-03-06,Standard Class,CUS-5388,Corporate,West,Arizona,Technology,Laptops,594.63,2,0.2,40.03
ORD-2023-03057,2021-03-05,2021-03-12,Standard Class,CUS-5670,Consumer,West,Arizona,Office Supplies,Binders,64.0,6,0.0,14.99
ORD-2023-02652,2021-03-05,2021-03-08,Standard Class,CUS-2369,Corporate,South,Georgia,Office Supplies,Paper,239.0,3,0.0,28.26
ORD-2022-02073,2021-03-05,2021-03-08,First Class,CUS-5856,Consumer,South,Tennessee,Technology,Copiers,737.59,2,0.0,195.03
ORD-2022-02417,2021-03-05,2021-03-08,First Class,CUS-2328,Consumer,East,Virginia,Technology,Phones,499.2,9,0.0,119.51
ORD-2022-01389,2021-03-05,2021-03-10,Second Class,CUS-2025,Corporate,West,California,Furniture,Chairs,185.9,9,0.0,23.77
ORD-2021-00846,2021-03-05,2021-03-09,First Class,CUS-2867,Consumer,East,New York,Office Supplies,Binders,82.44,1,0.0,20.19
ORD-2022-01899,2021-03-06,2021-03-10,First Class,CUS-2585,Consumer,West,Arizona,Technology,Accessories,1290.29,5,0.0,293.56
ORD-2021-01101,2021-03-06,2021-03-12,Standard Class,CUS-8897,Consumer,East,New York,Office Supplies,Binders,77.55,1,0.0,16.98
ORD-2021-00462,2021-03-07,2021-03-11,Standard Class,CUS-5984,Corporate,South,Florida,Office Supplies,Fasteners,48.11,6,0.0,2.86
ORD-2022-02483,2021-03-07,2021-03-12,Second Class,CUS-9563,Corporate,East,North Carolina,Office Supplies,Paper,23.49,2,0.2,-0.99
ORD-2022-02452,2021-03-07,2021-03-11,Standard Class,CUS-6302,Home Office,Central,Illinois,Office Supplies,Fasteners,156.03,1,0.2,-14.39
ORD-2023-03850,2021-03-07,2021-03-11,Same Day,CUS-1972,Corporate,East,North Carolina,Furniture,Chairs,256.29,8,0.1,-12.31
ORD-2023-02813,2021-03-08,2021-03-12,First Class,CUS-6852,Consumer,West,Colorado,Technology,Laptops,269.17,7,0.1,26.64
ORD-2021-00027,2021-03-08,2021-03-10,First Class,CUS-9489,Corporate,West,Colorado,Technology,Laptops,37.09,8,0.2,0.1
ORD-2023-03236,2021-03-09,2021-03-11,Standard Class,CUS-5639,Consumer,South,Florida,Furniture,Bookcases,262.11,5,0.0,18.32
ORD-2023-03095,2021-03-09,2021-03-11,Standard Class,CUS-3568,Corporate,West,Nevada,Office Supplies,Paper,182.29,9,0.3,-29.47
ORD-2024-04520,2021-03-10,2021-03-13,Second Class,CUS-7089,Home Office,West,Nevada,Furniture,Tables,335.86,3,0.0,44.46
ORD-2023-02973,2021-03-10,2021-03-16,Standard Class,CUS-7848,Corporate,South,South Carolina,Furniture,Chairs,419.89,4,0.1,-71.07
ORD-2022-02262,2021-03-10,2021-03-12,First Class,CUS-7573,Consumer,East,New York,Office Supplies,Paper,37.33,8,0.2,-0.91
ORD-2023-03552,2021-03-10,2021-03-12,Second Class,CUS-4854,Consumer,East,Massachusetts,Technology,Laptops,294.93,3,0.0,78.24
ORD-2024-04417,2021-03-11,2021-03-13,Second Class,CUS-8083,Consumer,West,Nevada,Furniture,Tables,103.86,2,0.0,10.27
ORD-2021-00107,2021-03-11,2021-03-17,First Class,CUS-3556,Home Office,West,Arizona,Office Supplies,Art,98.8,2,0.3,-14.83
ORD-2024-05035,2021-03-13,2021-03-17,Second Class,CUS-3101,Corporate,West,Arizona,Technology,Monitors,735.48,4,0.0,250.27
ORD-2024-04086,2021-03-13,2021-03-19,Second Class,CUS-4379,Consumer,East,Massachusetts,Office Supplies,Paper,16.84,3,0.0,2.99
ORD-2021-00304,2021-03-14,2021-03-16,Second Class,CUS-3785,Home Office,South,Alabama,Office Supplies,Envelopes,52.51,7,0.2,-3.54
ORD-2021-00201,2021-03-14,2021-03-21,Second Class,CUS-5822,Corporate,South,Alabama,Office Supplies,Paper,110.57,6,0.1,5.82
ORD-2022-01980,2021-03-15,2021-03-20,Standard Class,CUS-9745,Consumer,South,Florida,Technology,Phones,116.22,2,0.0,22.95
ORD-2021-00225,2021-03-15,2021-03-20,Standard Class,CUS-4264,Corporate,South,Tennessee,Furniture,Chairs,1021.78,4,0.0,116.72
ORD-2024-04245,2021-03-15,2021-03-17,Same Day,CUS-2911,Consumer,West,Oregon,Office Supplies,Binders,64.05,2,0.4,-17.36
ORD-2021-01226,2021-03-16,2021-03-18,Standard Class,CUS-2852,Corporate,East,Virginia,Office Supplies,Art,66.97,4,0.4,-22.04
ORD-2023-02700,2021-03-16,2021-03-18,Standard Class,CUS-2111,Corporate,Central,Illinois,Furniture,Tables,183.82,6,0.1,-21.49
ORD-2023-03091,2021-03-16,2021-03-20,Standard Class,CUS-1431,Consumer,South,Florida,Technology,Monitors,275.75,6,0.0,62.66
ORD-2023-03609,2021-03-17,2021-03-22,First Class,CUS-1789,Home Office,West,Colorado,Technology,Monitors,205.0,4,0.4,-39.5
ORD-2024-05108,2021-03-17,2021-03-24,Standard Class,CUS-6609,Home Office,East,North Carolina,Technology,Copiers,629.26,1,0.1,93.13
ORD-2023-03106,2021-03-18,2021-03-21,Second Class,CUS-3191,Corporate,East,Virginia,Office Supplies,Fasteners,85.11,1,0.0,19.44
ORD-2021-00710,2021-03-18,2021-03-20,Same Day,CUS-8713,Corporate,South,Georgia,Technology,Laptops,489.77,3,0.2,10.76
ORD-2022-02296,2021-03-19,2021-03-25,First Class,CUS-6523,Home Office,Central,Michigan,Technology,Printers,526.27,4,0.0,131.44
ORD-2022-01326,2021-03-20,2021-03-25,Standard Class,CUS-8241,Home Office,East,Massachusetts,Technology,Laptops,223.6,6,0.0,71.03
ORD-2021-00440,2021-03-20,2021-03-23,Standard Class,CUS-5398,Home Office,South,South Carolina,Technology,Monitors,198.17,9,0.2,-4.23
ORD-2023-03478,2021-03-20,2021-03-22,Same Day,CUS-9088,Consumer,South,South Carolina,Furniture,Bookcases,363.85,4,0.2,-118.25
ORD-2021-00515,2021-03-21,2021-03-28,Second Class,CUS-4014,Consumer,West,Nevada,Furniture,Furnishings,297.44,2,0.3,-109.05
ORD-2024-04603,2021-03-21,2021-03-26,Second Class,CUS-3201,Home Office,Central,Indiana,Furniture,Tables,324.07,2,0.0,39.49
ORD-2022-02159,2021-03-21,2021-03-23,First Class,CUS-2731,Consumer,West,California,Furniture,Bookcases,587.4,5,0.0,75.19
ORD-2022-02551,2021-03-21,2021-03-28,Standard Class,CUS-9355,Consumer,East,New York,Furniture,Furnishings,206.23,5,0.0,24.61
ORD-2024-04006,2021-03-21,2021-03-24,Standard Class,CUS-8645,Home Office,East,Virginia,Furniture,Furnishings,530.47,8,0.4,-333.18
ORD-2023-03757,2021-03-21,2021-03-27,Standard Class,CUS-2057,Consumer,West,California,Office Supplies,Paper,38.76,7,0.3,-6.92
ORD-2024-04572,2021-03-22,2021-03-28,Standard Class,CUS-5991,Corporate,West,Oregon,Technology,Accessories,346.94,6,0.0,106.73
ORD-2024-04285,2021-03-22,2021-03-25,Second Class,CUS-5300,Consumer,West,Colorado,Office Supplies,Paper,91.31,3,0.4,-18.95
ORD-2023-02670,2021-03-23,2021-03-29,Standard Class,CUS-7535,Consumer,Central,Michigan,Technology,Accessories,759.0,2,0.0,127.33
ORD-2021-01127,2021-03-23,2021-03-28,Standard Class,CUS-6960,Consumer,Central,Missouri,Office Supplies,Art,71.9,3,0.0,14.03
ORD-2023-03686,2021-03-23,2021-03-28,First Class,CUS-7611,Corporate,East,New Jersey,Office Supplies,Binders,26.84,4,0.4,-8.0
ORD-2022-01780,2021-03-24,2021-03-26,Standard Class,CUS-4730,Home Office,West,Arizona,Office Supplies,Envelopes,60.08,8,0.0,13.06
ORD-2022-01777,2021-03-24,2021-03-31,First Class,CUS-3352,Corporate,East,New Jersey,Office Supplies,Labels,153.15,2,0.1,11.9
